cohort,selection_rule,case_id,case_class,glomeruli,lateral_code_index_real3_delta_vs_sym_arbor,lateral_code_index_real3_delta_vs_sym_baseline,lateral_code_index_real3_minus_mirror_arbor,lateral_code_index_real3_minus_mirror_baseline,lateral_code_index_real3_minus_shuffle_arbor,lateral_code_index_real3_minus_shuffle_baseline,mean_spike_count_real3_delta_vs_sym_arbor,mean_spike_count_real3_delta_vs_sym_baseline,normalized_effective_dimension_real3_delta_vs_sym_arbor,normalized_effective_dimension_real3_delta_vs_sym_baseline,normalized_effective_dimension_real3_minus_mirror_arbor,normalized_effective_dimension_real3_minus_mirror_baseline,normalized_effective_dimension_real3_minus_shuffle_arbor,normalized_effective_dimension_real3_minus_shuffle_baseline
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_quad_040_V_VA7m_VC3_VM2,support_quad,V;VA7m;VC3;VM2,0.2379930140863168,0.2566349861869952,0.3154738010066031,0.3306827821643119,0.2380313884134381,0.25249783127092,-754.0,3.552713678800501e-15,-0.0040266447508278,-0.0023369499004396,-0.0075600731307881,-0.0027364213563723,-0.0064765430082011,-0.0017078192255204
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_quad_041_VM2_DC2_DM2_DL3,support_quad,VM2;DC2;DM2;DL3,0.1921793505969164,0.2156704398275858,0.2554179637778525,0.2941372887087715,0.1945838675996828,0.21426304587943,-189.375,0.0,0.005831435231112,-0.0011680145063207,-0.0019479825265794,-0.0010669394667349,-0.0009196039922521,-0.0004355574923275
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_quad_042_VM5v_DM2_DL3_VA6,support_quad,VM5v;DM2;DL3;VA6,0.241289282440384,0.2607480443217539,0.3259335514224302,0.3499758003110329,0.2392083172393703,0.2605871534535122,-370.6666666666642,3.552713678800501e-15,0.00106934888956,-0.0026082325112572,0.0028601706414039,-0.0021038025737263,0.0003604569440539,-0.0012245132992054
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_quad_043_DM3_VM3_VA6_VC4,support_quad,DM3;VM3;VA6;VC4,0.2151913070586925,0.2204404068729175,0.2810099135124442,0.3014564898904431,0.2113582945746594,0.2220080737579151,-722.9166666666679,-7.105427357601002e-15,-0.0019724290720668,-0.0059551335201619,-0.0021589362200627,-0.0075218010413108,-0.0034276112224671,-0.0057064830515421
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_quad_044_VC4_VA3_VM1_DL2d,support_quad,VC4;VA3;VM1;DL2d,0.1776707804542425,0.1948349273234743,0.2392053333604159,0.2557601482293097,0.1784889963452245,0.1933476390935615,-401.2916666666642,0.0,-0.0017413046387666,-0.002037696475555,-0.0051322064997389,-0.0017126534195252,-0.0028574053241152,-0.0011279202200422
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_quad_045_DL2d_DM6_VA4_VC2,support_quad,DL2d;DM6;VA4;VC2,0.1998900146268218,0.2232424334889498,0.2665412031017032,0.2944759045083953,0.1988925203957536,0.2244084665463818,-153.5,-3.552713678800501e-15,0.0007108819424085,-7.77157421000263e-06,0.0009623853052004,0.0003233570686565,-0.0001849597343098,8.482312326626514e-06
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_triple_018_DM1_DP1m_DC1,support_triple,DM1;DP1m;DC1,0.3269981018863757,0.3642749110987965,0.444062593568682,0.4834724167956883,0.3288076917193517,0.3568821440839177,59.70833333333212,0.0,-0.0034981087633828,0.0011003852954195,-0.0012937351536639,0.0017860532990332,-0.0029355619553301,0.0011776609214992
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_triple_019_DP1l_DC1_VA2,support_triple,DP1l;DC1;VA2,0.2747834594890772,0.2850109303376042,0.3636150848733021,0.3795212099738638,0.2691388633899509,0.2813530465286702,-645.1666666666642,-3.552713678800501e-15,0.0010220118921446,-0.0016598179277895,0.0009873671871073,-0.001499612476198,0.0003917319036334,-0.0010982535623828
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_triple_020_VA2_DM4_VL2p,support_triple,VA2;DM4;VL2p,0.2238968673124202,0.2389996135872476,0.3012800948294565,0.3174049164103979,0.2254949276353984,0.2351827357162621,-171.29166666666424,3.552713678800501e-15,-0.001490266975931,0.0009113269454889,-0.0029945670370991,0.0020978851661708,-0.004874880892167,0.001203691436116
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_triple_021_VL2p_VC5_DL2v,support_triple,VL2p;VC5;DL2v,0.2514673653094901,0.271450345777394,0.337899147739507,0.3642334311904696,0.2509212751941451,0.2697642138120562,-904.9166666666642,-3.552713678800501e-15,-0.0031264727303772,-0.0006089894280377,-0.0043883999212995,0.0005070943937954,-0.005093226276744,-9.992030125379598e-05
